VSL_ID,VSL_NAME,VSL_MMSI,VSL_IMO,CALL_SIGN,SHIP_TYPE,VSL_LENGTH,VSL_WIDTH,DIMENSIONS_A,DIMENSIONS_B,DIMENSIONS_C,DIMENSIONS_D,GROSS_TONNAGE
9c144049-6262-3c78-8506-a6c348b9fb38,SITC TAICANG,477302300,9836115.0,VRSC5,CONTAINER,141.0,25.0,119.0,22.0,18.0,7.0,9967.0
9c1b4a0d-4649-3b2d-90a8-e9b7bc267bba,MSC CLARA,374766000,9708693.0,3FZW9,CONTAINER,396.0,59.0,145.0,251.0,36.0,23.0,192237.0
9ccb2678-bbe7-365d-81fe-a247f37c5a7f,CSL SOPHIE,210092000,9293466.0,5BPZ5,CONTAINER,294.0,32.0,217.0,77.0,21.0,11.0,54519.0
9cee9f36-7978-3e1e-b6a1-cc7244336db4,MSC VIRGO,255806340,9857171.0,CQEB9,CONTAINER,366.0,51.0,110.0,256.0,13.0,38.0,149525.0
9dac1674-77db-3e0c-a4d4-ff3bb2c58a58,CMA CGM PELLEAS,218846000,9365788.0,DFPH2,CONTAINER,348.0,42.0,258.0,90.0,24.0,18.0,111249.0
9e5ff808-986c-3318-8b72-a76463fa1726,KMTC MUMBAI,441225000,9665695.0,D7UF,CONTAINER,255.0,37.0,197.0,58.0,9.0,28.0,51872.0
9e8069f6-8170-304e-aeda-20b0f5ea10a8,CAPE FELTON,538003181,9379375.0,V7OX5,CONTAINER,170.0,25.0,158.0,12.0,20.0,5.0,15995.0
9ed0f958-f12e-3fba-b9d3-8850376b40bd,MARVEL,311655000,9296456.0,C6TI4,CONTAINER,115.0,18.0,105.0,10.0,12.0,6.0,5403.0
9ee9176a-704f-3855-8afe-9705d5b6095f,STRAIT MAS,525119161,9252369.0,YDBO2,CONTAINER,226.0,32.0,168.0,58.0,21.0,11.0,28676.0
9f3f9091-6483-3583-a868-53cb82ec0f46,MADRID EXPRESS,477624100,9447847.0,VRTN4,CONTAINER,366.0,48.0,145.0,221.0,29.0,19.0,140259.0
9f5ca770-145e-3624-b36f-588c47ae71c8,KOTA GAYA,563152500,9616802.0,9V7466,CONTAINER,223.0,30.0,176.0,47.0,7.0,23.0,29015.0
9f7e55fd-35e5-3454-b554-4f5008dad3c7,CHARLOTTE SCHULTE,563491000,9665657.0,9V9804,CONTAINER,255.0,37.0,197.0,58.0,9.0,28.0,51872.0
9f88d78e-7fe7-3334-a2a1-bfb17b89e308,CAPE ARTEMISIO,248140000,9777175.0,9HA4529,CONTAINER,330.0,48.0,111.0,219.0,13.0,35.0,112836.0
9fa11d5c-9c0e-30d6-9714-6607fd5e9e17,MSC ALIYA,636019215,9842097.0,D5TM4,CONTAINER,366.0,48.0,113.0,253.0,14.0,34.0,140976.0
9faa6003-17ab-3412-896e-04eb09f6c434,SUNNY CALLA,477193400,9698381.0,VRNX4,CONTAINER,141.0,23.0,118.0,23.0,14.0,9.0,9551.0
9fe56f37-9871-3549-8c94-9ddc917100f6,SUNNY IVY,477681800,9903463.0,VRTX9,CONTAINER,142.0,23.0,118.0,24.0,9.0,14.0,9538.0
a00fbb08-c713-329e-97d8-e41d77995f17,JEBEL ALI,229007000,9525936.0,9HA2984,CONTAINER,366.0,48.0,147.0,219.0,10.0,38.0,141077.0
a083fee7-795f-3ba3-805f-03282b147e16,SHIJING,636021320,9348663.0,5LDJ7,CONTAINER,294.0,32.0,222.0,72.0,17.0,15.0,54675.0
a12e92b3-6089-33df-84cd-b034b7044f8c,C C JACQUES JOSEPH,248473000,9729104.0,9HA4667,CONTAINER,300.0,49.0,115.0,185.0,32.0,17.0,95256.0
a16d0fd1-61f7-3c9f-8ee9-035017972cc4,MONACO MAERSK,219863000,9778832.0,OWNL2,CONTAINER,399.0,58.0,116.0,283.0,29.0,29.0,214286.0
a1920b5d-37fd-3bca-a2c8-6c62311cb67f,YM WELLHEAD,477454100,9684665.0,VROH8,CONTAINER,368.0,51.0,140.0,228.0,30.0,21.0,144651.0
a1dcd185-f798-36ca-a3b2-3d090e18fd84,MCC ANDALAS,525100468,9499022.0,YBTH2,CONTAINER,148.0,23.0,136.0,12.0,17.0,6.0,9954.0
a239555a-59ac-32f5-9367-fea8364929ad,ARAYA BHUM,563166600,9306990.0,9V8150,CONTAINER,280.0,40.0,206.0,74.0,28.0,12.0,66462.0
a2d7edad-765e-325a-98c4-241abb5bc4e9,PANCON VICTORY,440375000,9749116.0,D7CC,CONTAINER,148.0,23.0,111.0,37.0,15.0,8.0,9923.0
a31a3098-5594-3dae-bd5b-07138c4867b8,OREA,256558000,9670107.0,9HA3953,CONTAINER,185.0,30.0,168.0,17.0,6.0,24.0,24518.0
a31f18ed-d403-38cf-98e3-db991dfb3e43,ARTOTINA,229646000,9226425.0,9HA3481,CONTAINER,208.0,30.0,205.0,3.0,19.0,11.0,25703.0
