,항명,호출부호,선명,입항횟수,입항횟수.1,구분,외내,입출,총톤수,입항일시,출항일시,CIQ수속일자,수리일시,항해구분,MRN 번호,계선장소,계선장소.1,계선장소.2,차항지,전출항지,선박용도,"외항:한국인선원수
내항:해기사선원수","외항:외국인선원수
내항:보통선원수",승객,예선,도선,부선호출부호1,부선호출부호2
21,부산,H9JL,SUN SHINE,2022,1,최종,외항,출항,"17,825",2022-08-26 23:12,2022-09-01 06:30,2022-09-01 05:00,2022-09-01 09:12,기타,22HSSC074DE,WAN,04,남외항 N-4박지,고현,TAICHUNG,일반화물선,9.0,11.0,,Y,N,,
22,인천,171825,백령 153호,2022,30,최종,내항,출항,368,2022-08-27 03:35,2022-09-01 15:05,,2022-09-02 10:17,기타,,MBN,01,남항 모래부두,기타항,기타항,일반화물선,4.0,0.0,0.0,N,N,,
23,부산,LANT5,STAR ISMENE,2022,1,최종,외항,출항,"32,628",2022-08-27 22:30,2022-09-02 12:00,2022-09-02 12:00,2022-09-05 17:48,기타,22GBPL2025E,MKC,02,감천 중앙부두 2선석,인천,OSAKA,일반화물선,,21.0,,Y,Y,,
24,부산,V2HN6,IMKE,2022,1,최종,외항,출항,"11,473",2022-08-28 08:25,2022-09-25 15:55,2022-09-25 15:55,2022-09-28 11:17,기타,22WIZYD065E,MYF,08,선기조합-08(오리엔트),마산,OHFUNATO,일반화물선,,17.0,,Y,Y,,
25,인천,V3ZQ6,XIANG HAN 8,2022,5,최종,외항,출항,"2,991",2022-08-29 00:55,2022-09-01 16:10,2022-09-01 13:30,2022-09-01 20:07,기타,22L54KI198E,MBU,01,북항 대한통운부두 1선석,JINGTANG(TANGSHAN),YOKOHAMA,일반화물선,,14.0,,Y,Y,,
26,인천,091413,제23금진,2022,15,최종,내항,출항,"1,691",2022-08-29 07:00,2022-09-01 07:05,,2022-09-01 20:10,기타,,MDU,03,영흥도 영흥화력3돌핀,울산,묵호,일반화물선,5.0,4.0,,N,N,,
27,인천,176701,옹진페리호,2022,61,최종,내항,출항,156,2022-08-29 19:10,2022-09-13 09:40,,2022-09-23 09:39,기타,,MBN,01,남항 모래부두,기타항,기타항,일반화물선,2.0,0.0,0.0,N,N,,
28,인천,885116,강남호,2022,62,최종,내항,출항,113,2022-08-30 12:40,2022-09-13 09:05,,2022-09-13 10:54,개인항해,,MBN,01,남항 모래부두,기타항,기타항,일반화물선,2.0,0.0,9.0,N,N,,
29,인천,3FQW8,BR FAIRY,2022,17,최종,외항,출항,"2,509",2022-08-30 18:20,2022-09-06 12:00,2022-09-02 14:30,2022-09-06 13:43,기타,22L54KI202E,WWB,01,제1입항대기정박지(북장자서),"MISUMI, KUMAMOTO",HANNAN,일반화물선,2.0,9.0,,Y,Y,,
30,인천,VRAU2,OCEAN CONFIDENCE,2022,1,최종,외항,출항,"88,853",2022-08-30 19:15,2022-09-11 15:40,2022-09-11 13:30,2022-09-11 16:01,기타,22POBUYA10E,MDU,02,영흥도 영흥화력2돌핀,FUZHOU,NEWCASTLE,일반화물선,,23.0,,Y,Y,,
31,부산,V3UL8,TIAN PENG,2022,3,최종,외항,출항,"2,956",2022-08-31 02:40,2022-09-01 16:10,2022-09-01 17:00,2022-09-02 15:01,기타,22SPSWD082E,MBU,02,연합부두 연2선석,"FUKUYAMA, HIROSHIMA","FUKUYAMA, HIROSHIMA",일반화물선,,15.0,,Y,Y,,
32,인천,3E2163,CHENG JI HAI,2022,1,최종,외항,출항,"2,997",2022-08-31 05:50,2022-09-01 01:45,2022-08-31 23:00,2022-09-01 15:48,기타,22ONESN162E,MB2,03,내항 2부두 23선석,BAYUQUAN,ZHANGJIAGANG,일반화물선,,12.0,,Y,Y,,
33,인천,D7WR,ANNA,2022,4,최종,외항,출항,"1,971",2022-08-31 09:40,2022-09-06 10:00,2022-09-02 22:00,2022-09-06 13:13,기타,22JOASD232E,WWB,01,제1입항대기정박지(북장자서),부산,DAFENG,일반화물선,2.0,11.0,,N,N,,
34,인천,151822,미래13호,2022,48,최종,내항,출항,"3,550",2022-08-31 10:55,2022-09-02 17:10,,2022-09-02 17:33,기타,,MBN,01,남항 모래부두,기타항,기타항,일반화물선,6.0,1.0,7.0,N,N,,
35,부산,D7UE,KWANGYANG HARVEST,2022,3,최종,외항,출항,"3,018",2022-08-31 11:10,2022-09-08 13:10,2022-09-08 13:00,2022-09-13 08:53,기타,22SPSWA091E,MYL,01,동일 조선소,광양,목포,일반화물선,3.0,9.0,,N,N,,
36,부산,VRHH5,JOYFUL SPIRIT,2022,1,최종,외항,출항,"9,129",2022-08-31 11:35,2022-09-01 21:50,2022-09-01 18:00,2022-09-02 15:14,기타,22SPSWD083E,MK2,03,감천 2부두 3선석,VAN PHONG,울산,일반화물선,,18.0,,Y,Y,,
37,인천,944402,골드페리3호,2022,95,최종,내항,출항,272,2022-08-31 12:00,2022-09-01 06:40,,2022-09-01 20:09,기타,,MBN,01,남항 모래부두,기타항,기타항,일반화물선,5.0,0.0,0.0,N,N,,
38,부산,H3CQ,HOLLY PIONEER,2022,5,최종,외항,출항,"17,784",2022-08-31 13:04,2022-09-01 00:49,2022-09-01 00:49,2022-09-26 14:23,기타,22LSSPM656E,WAN,04,남외항 N-4박지,BAYUQUAN,VLADIVOSTOK,일반화물선,,20.0,,N,N,,
39,인천,181801,덕산훼리호,2022,203,최종,내항,출항,162,2022-08-31 15:50,2022-09-02 07:40,,2022-09-02 10:17,기타,,MBN,01,남항 모래부두,기타항,기타항,일반화물선,3.0,12.0,0.0,N,N,,
40,부산,3EHV5,TRAWIND FORTUNE,2022,6,최종,외항,출항,"9,999",2022-09-01 02:15,2022-09-01 07:30,2022-09-01 05:30,2022-09-02 09:00,기타,22SEACD134E,WAN,03,남외항 N-3박지,BAHUDOPI,NAKHODKA,일반화물선,,18.0,,N,N,,
41,부산,3EHV5,TRAWIND FORTUNE,2022,6,최종,외항,입항,"9,999",2022-09-01 02:15,2022-09-01 07:30,2022-09-01 02:15,2022-09-02 08:54,기타,22SEACA134I,WAN,03,남외항 N-3박지,BAHUDOPI,NAKHODKA,일반화물선,,18.0,,N,N,,
42,인천,V3LP2,KUN YUAN,2022,5,최종,외항,입항,"2,581",2022-09-01 05:50,2022-09-01 16:15,2022-09-01 07:30,2022-09-02 09:46,기타,22DKSPF621I,MBG,03,북항 대주중공업부두 3선석,TIANJIN XINGANG PT,HUANGHUA,일반화물선,,12.0,,Y,Y,,
43,인천,V3LP2,KUN YUAN,2022,5,최종,외항,출항,"2,581",2022-09-01 05:50,2022-09-01 16:15,2022-09-01 14:00,2022-09-02 09:48,기타,22DKSPF622E,MBG,03,북항 대주중공업부두 3선석,QINGDAO,HUANGHUA,일반화물선,,12.0,,Y,Y,,
44,부산,170023,세주신광,2022,94,최종,내항,출항,"5,310",2022-09-01 06:00,2022-09-01 20:00,,2022-09-02 14:14,기타,,MB7,05,우암부두 75선석,제주,제주,일반화물선,7.0,7.0,6.0,N,N,,
