VSL_ID,VSL_NAME,VSL_MMSI,VSL_IMO,CALL_SIGN,SHIP_TYPE,VSL_LENGTH,VSL_WIDTH,DIMENSIONS_A,DIMENSIONS_B,DIMENSIONS_C,DIMENSIONS_D,GROSS_TONNAGE
47799aa6-9f72-314d-b06c-3957dead315f,MSC BANU III,372972000,9263332,3ELK7,CONTAINER,231.0,32.0,188,43,9,23,35954
47b51e18-ace8-3784-8bca-e04e89841277,SM NINGBO,440151000,9312937,D7FG,CONTAINER,304.0,40.0,227,77,25,15,74962
47ddacd1-9138-3841-ae78-145a3a9a55ed,YM WISH,477006500,9684641,VROC3,CONTAINER,368.0,51.0,144,224,31,20,144651
481110a1-7609-3527-8e8b-0d18244fb604,ONE MILANO,371076000,9757187,3FAY4,CONTAINER,366.0,52.0,142,224,26,26,150706
484b7751-22f1-31ed-9787-df900b26d866,TIGER OCEAN,563071300,9793727,9V6143,CONTAINER,186.0,35.0,166,20,15,20,31368
486cf4e6-d6d1-34ac-bbab-2531a4fef9cb,MSC AURIGA,255806338,9857183,CQEB7,CONTAINER,366.0,51.0,112,254,36,15,149525
48e0a970-8a41-3309-8170-783cc76e084c,EVER LEGACY,566853000,9595515,9V9290,CONTAINER,335.0,46.0,232,103,18,28,98882
491891a0-6104-3638-a689-b6ab017b12ee,YM INTELLIGENT,416486000,9319117,BLHD,CONTAINER,172.0,27.0,130,42,17,10,16488
498da270-05a2-3bf6-a7f5-8e9e6abe2908,MSC SINDY,372736000,9336048,3EKJ3,CONTAINER,337.0,46.0,258,79,20,26,107849
49d21dac-232c-38ae-af8e-453795e23494,ERVING,235084298,9463023,2EDZ5,CONTAINER,366.0,48.0,142,224,30,18,141649
49f8326e-e5ab-3669-a831-a764c7ee2e62,EVER ULYSSES,564442000,9196955,9V7962,CONTAINER,285.0,40.0,210,75,10,30,69246
4a13978c-a86b-32b4-ac2d-6ca97b33d8c0,XIN BEIJING,477768100,9314246,VRCS5,CONTAINER,336.0,45.0,258,78,31,14,108069
4a156f9b-f58d-301d-b654-18f938d75078,CMA CGM GEORGE SAND,256311000,9332884,9HA5792,CONTAINER,293.0,40.0,220,73,28,12,71786
4a1ceeee-4ac0-38a3-8916-3e810b1a47be,JINGSHAN 966,413860826,0.0,,GENERAL_CARGO,80.0,16.0,77.0,3.0,8.0,8.0,
4a3d5c24-c282-3a04-b4bf-11e61ef4731f,EVER FULL,636021462,9850903,5LEA8,CONTAINER,333.0,48.0,130,203,28,20,116295
4a4adcc5-ba57-3a45-a674-9c4034331364,AS CLAUDIA,636018040,9330549,D5MS9,CONTAINER,222.0,30.0,174,48,18,12,28616
4ac3bf06-70c3-347c-9b6f-e56922dbcee7,ALEXANDER BAY,636015897,9238777,D5DJ5,CONTAINER,260.0,32.0,206,54,31,1,39941
4adad4fd-1676-3cc6-9009-22513899abab,MSC VANDYA,373005000,9484467,3FDW4,CONTAINER,365.0,49.0,140,225,28,21,143521
4ae28344-0e5e-3f63-9dbb-06b17d5dc28a,SITC FUJIAN,477967300,9700938,VRNQ5,CONTAINER,172.0,28.0,130,42,18,10,17360
4b3458a8-caa2-38bd-a66e-58e2347c4579,XIANG REN,351135000,9161821.0,3EBO,GENERAL_CARGO,122.0,20.0,100,22,9,11,6102.0
4b3a8241-4c93-3124-b708-96549c1bfda2,SITC LIANYUNGANG,477024800,9639634,VRKS6,CONTAINER,143.0,23.0,126,17,17,6,9734
4b6b99b7-9bd8-38e5-98ad-926e50fc1d50,AS CAROLINA,255806137,9314935,CQAC7,CONTAINER,222.0,30.0,175,47,5,25,28927
4b7e1abd-907b-33e2-a5cc-e0d89a3deea9,ZENITH LUMOS,232029038,9864215,MHVR6,CONTAINER,366.0,51.0,112,254,36,15,149525
