,항명,호출부호,선명,입항횟수,입항횟수.1,구분,외내,입출,총톤수,입항일시,출항일시,CIQ수속일자,수리일시,항해구분,MRN 번호,계선장소,계선장소.1,계선장소.2,차항지,전출항지,선박용도,"외항:한국인선원수
내항:해기사선원수","외항:외국인선원수
내항:보통선원수",승객,예선,도선,부선호출부호1,부선호출부호2
10,부산,DSQX2,SANSTAR DREAM,2022,66,최종,외항,입항,"5,319",2022-09-03 17:35,2022-09-03 21:11,2022-09-03 17:30,2022-09-08 15:45,기타,22PSLCP569I,MSL,01,신항 다목적부두,마산,마산,세미(혼재)컨테이너선,8.0,9,,N,N,,
11,부산,D8RV,PANSTAR GENIE NO.2,2022,78,최종,외항,입항,"7,323",2022-09-03 22:05,2022-09-04 02:42,2022-09-03 22:00,2022-09-08 15:45,기타,22SSTLB735I,MSL,01,신항 다목적부두,TOKYO,SHIDAO PT,세미(혼재)컨테이너선,8.0,9,,N,N,,
12,부산,D8RV,PANSTAR GENIE NO.2,2022,78,최종,외항,출항,"7,323",2022-09-03 22:05,2022-09-04 02:42,2022-09-04 03:00,2022-09-13 10:01,기타,22PSLCB735E,MSL,01,신항 다목적부두,TOKYO,SHIDAO PT,세미(혼재)컨테이너선,8.0,9,,N,N,,
13,인천,BATI,YA LU JIANG,2022,52,최종,외항,입항,"5,250",2022-09-04 19:50,2022-09-06 16:36,2022-09-04 20:00,2022-09-04 22:04,기타,22COSN8123I,MSB,03,신항 선광신컨테이너터미널 3선석,DALIAN,DALIAN,세미(혼재)컨테이너선,,19,,Y,Y,,
14,인천,BATI,YA LU JIANG,2022,52,최종,외항,출항,"5,250",2022-09-04 19:50,2022-09-06 16:36,2022-09-05 03:00,2022-09-07 14:19,기타,22COSN8124E,WWJ,01,제2입항대기정박지(장안서),DALIAN,DALIAN,세미(혼재)컨테이너선,,19,,Y,Y,,
15,인천,3FMT9,XIN HE DA,2022,36,최종,외항,출항,"7,808",2022-09-04 20:05,2022-09-05 14:40,2022-09-05 10:00,2022-09-05 15:48,기타,22TJMSK561E,MSA,01,신항 한진인천컨테이너터미널 1선석,TIANJIN XINGANG PT,TIANJIN XINGANG PT,세미(혼재)컨테이너선,,18,,Y,Y,,
16,인천,3FMT9,XIN HE DA,2022,36,최종,외항,입항,"7,808",2022-09-04 20:05,2022-09-05 14:40,2022-09-04 10:00,2022-09-05 06:47,기타,22TJMSK561I,MSA,03,신항 한진인천컨테이너터미널 3선석,TIANJIN XINGANG PT,TIANJIN XINGANG PT,세미(혼재)컨테이너선,,18,,Y,Y,,
17,부산,D8FB,PANSTAR GENIE,2022,73,최종,외항,입항,"7,323",2022-09-07 09:30,2022-09-08 15:20,2022-09-07 09:30,2022-09-15 16:20,기타,22PSLCP105I,MBF,12,신국제여객터미널 12선석,OSAKA,OSAKA,세미(혼재)컨테이너선,8.0,9,,N,N,,
18,부산,D8FB,PANSTAR GENIE,2022,73,최종,외항,출항,"7,323",2022-09-07 09:30,2022-09-08 15:20,2022-09-08 15:00,2022-09-15 17:58,기타,22PSLCB107E,MBF,12,신국제여객터미널 12선석,OSAKA,OSAKA,세미(혼재)컨테이너선,8.0,9,,N,N,,
19,부산,DSQX2,SANSTAR DREAM,2022,67,최종,외항,입항,"5,319",2022-09-07 12:20,2022-09-07 16:11,2022-09-07 12:00,2022-09-08 15:46,기타,22PSLCP570I,MSL,01,신항 다목적부두,TSURUGA,마산,세미(혼재)컨테이너선,8.0,9,,N,N,,
20,부산,DSQX2,SANSTAR DREAM,2022,67,최종,외항,출항,"5,319",2022-09-07 12:20,2022-09-07 16:11,2022-09-07 16:00,2022-09-13 09:59,기타,22PSLCB571E,MSL,01,신항 다목적부두,TSURUGA,마산,세미(혼재)컨테이너선,8.0,9,,N,N,,
21,인천,BATD,MING YUE,2022,52,최종,외항,입항,"2,453",2022-09-07 18:12,2022-09-08 01:55,2022-09-07 19:00,2022-09-08 08:18,기타,22DDSCK760I,MSB,02,신항 선광신컨테이너터미널 2선석,DANDONG,DANDONG,세미(혼재)컨테이너선,,15,,Y,Y,,
22,인천,BATD,MING YUE,2022,52,최종,외항,출항,"2,453",2022-09-07 18:12,2022-09-08 01:55,2022-09-08 01:00,2022-09-08 08:20,기타,22DDSCK760E,MSB,03,신항 선광신컨테이너터미널 3선석,DANDONG,DANDONG,세미(혼재)컨테이너선,,15,,Y,Y,,
23,부산,D8RV,PANSTAR GENIE NO.2,2022,79,최종,외항,입항,"7,323",2022-09-08 06:48,2022-09-08 17:40,2022-09-08 06:30,2022-09-21 11:31,기타,22PSLCP735I,MSL,01,신항 다목적부두,SHIDAO PT,"NAGOYA, AICHI",세미(혼재)컨테이너선,8.0,9,,N,N,,
24,부산,D8RV,PANSTAR GENIE NO.2,2022,79,최종,외항,출항,"7,323",2022-09-08 06:48,2022-09-08 17:40,2022-09-08 18:00,2022-09-21 11:32,기타,22SSTLP735E,MSL,01,신항 다목적부두,SHIDAO PT,"NAGOYA, AICHI",세미(혼재)컨테이너선,8.0,9,,N,N,,
25,부산,VRUH4,RUI NENG 8,2022,12,최종,외항,입항,"8,425",2022-09-08 07:42,2022-09-08 11:45,2022-09-08 07:42,2022-09-08 14:47,기타,22SSLFR218I,MB7,01,7부두 71선석,VLADIVOSTOK,QINGDAO,세미(혼재)컨테이너선,,17,,Y,Y,,
26,부산,VRUH4,RUI NENG 8,2022,12,최종,외항,출항,"8,425",2022-09-08 07:42,2022-09-08 11:45,2022-09-08 11:45,2022-09-08 15:30,기타,22SFKLR218E,MB7,01,7부두 71선석,VLADIVOSTOK,QINGDAO,세미(혼재)컨테이너선,,17,,Y,Y,,
27,부산,5VHA7,SIDIMI,2022,7,최종,외항,입항,"5,608",2022-09-08 17:50,2022-09-09 11:10,2022-09-08 17:50,2022-12-07 11:15,기타,22GOMSA119I,WAN,03,남외항 N-3박지,VLADIVOSTOK,QINGDAO,세미(혼재)컨테이너선,,16,,N,N,,
28,부산,5VHA7,SIDIMI,2022,7,최종,외항,출항,"5,608",2022-09-08 17:50,2022-09-09 11:10,2022-09-09 11:10,2022-12-07 11:15,기타,22GOMSD119E,WAN,03,남외항 N-3박지,VLADIVOSTOK,QINGDAO,세미(혼재)컨테이너선,,16,,N,N,,
29,인천,BSDG,BEI HAI,2022,34,최종,외항,입항,"5,272",2022-09-09 02:50,2022-09-09 09:00,2022-09-09 03:00,2022-09-10 00:04,기타,22CKCO0717I,MSA,02,신항 한진인천컨테이너터미널 2선석,SHIDAO PT,TAICANG,세미(혼재)컨테이너선,,17,,Y,Y,,
30,인천,BSDG,BEI HAI,2022,34,최종,외항,출항,"5,272",2022-09-09 02:50,2022-09-09 09:00,2022-09-09 06:00,2022-09-13 09:30,기타,22CKCO0608E,MSA,03,신항 한진인천컨테이너터미널 3선석,SHIDAO PT,TAICANG,세미(혼재)컨테이너선,,17,,Y,Y,,
31,부산,VREU7,GUANG PING,2022,2,최종,외항,입항,"5,275",2022-09-09 13:05,2022-09-10 05:46,2022-09-09 13:05,2022-09-13 12:21,기타,22DDSGGP02I,MBR,E2,신감만부두 2선석,QINGDAO,QINGDAO,세미(혼재)컨테이너선,,18,,Y,Y,,
32,부산,VREU7,GUANG PING,2022,2,최종,외항,출항,"5,275",2022-09-09 13:05,2022-09-10 05:46,2022-09-10 05:46,2022-09-13 12:29,기타,22DDSGGP02E,MBR,E2,신감만부두 2선석,QINGDAO,QINGDAO,세미(혼재)컨테이너선,,18,,Y,Y,,
33,부산,V7IM5,KYOWA STORK,2022,6,최종,외항,출항,"12,592",2022-09-10 09:00,2022-09-15 05:55,2022-09-15 06:00,2022-09-15 09:30,기타,22KWSC0906E,MBR,01,감만부두 1선석,KOBE,LAE,세미(혼재)컨테이너선,,21,,Y,Y,,
34,부산,V7IM5,KYOWA STORK,2022,6,최종,외항,입항,"12,592",2022-09-10 09:00,2022-09-15 05:55,2022-09-10 09:00,2022-09-13 10:11,기타,22KWSC0905I,WAN,04,남외항 N-4박지,KOBE,LAE,세미(혼재)컨테이너선,,21,,Y,Y,,
35,부산,7JYD,TROPICAL ISLANDER,2022,4,최종,외항,출항,"18,100",2022-09-10 09:15,2022-09-13 18:03,2022-09-13 18:00,2022-09-14 10:16,기타,22KWSC0904E,MBR,01,감만부두 1선석,KOBE,PAPEETE,세미(혼재)컨테이너선,,20,,Y,Y,,
36,부산,7JYD,TROPICAL ISLANDER,2022,4,최종,외항,입항,"18,100",2022-09-10 09:15,2022-09-13 18:03,2022-09-10 08:00,2022-09-13 10:11,기타,22KWSC0903I,MBR,01,감만부두 1선석,KOBE,PAPEETE,세미(혼재)컨테이너선,,20,,Y,Y,,
37,부산,3FQO9,PACIFIC CONDOR,2022,5,최종,외항,출항,"8,483",2022-09-10 12:00,2022-09-12 04:00,2022-09-12 04:00,2022-09-13 09:23,기타,22KWSC0808E,MK6,03,감천 6부두 3선석,CHOFU,SHANGHAI,세미(혼재)컨테이너선,,22,,Y,Y,,
38,부산,3FQO9,PACIFIC CONDOR,2022,5,최종,외항,입항,"8,483",2022-09-10 12:00,2022-09-12 04:00,2022-09-10 12:00,2022-09-13 08:59,기타,22KWSC0807I,MK6,03,감천 6부두 3선석,CHOFU,SHANGHAI,세미(혼재)컨테이너선,,22,,Y,Y,,
39,부산,D8FB,PANSTAR GENIE,2022,74,최종,외항,출항,"7,323",2022-09-10 12:49,2022-09-11 15:00,2022-09-11 15:00,2022-09-15 17:59,기타,22PSLCB108E,MBF,12,신국제여객터미널 12선석,OSAKA,OSAKA,세미(혼재)컨테이너선,8.0,9,,N,N,,
40,부산,D8FB,PANSTAR GENIE,2022,74,최종,외항,입항,"7,323",2022-09-10 12:49,2022-09-11 15:00,2022-09-10 12:00,2022-09-15 17:58,기타,22PSLCP107I,MBF,12,신국제여객터미널 12선석,OSAKA,OSAKA,세미(혼재)컨테이너선,8.0,9,,N,N,,
41,부산,DSQX2,SANSTAR DREAM,2022,68,최종,외항,입항,"5,319",2022-09-10 13:18,2022-09-12 13:46,2022-09-10 14:00,2022-09-21 13:04,기타,22PSLCP571I,WAU,06,신항 U-6 정박지,마산,KANAZAWA,세미(혼재)컨테이너선,8.0,9,,N,N,,
42,부산,DSQX2,SANSTAR DREAM,2022,68,최종,외항,출항,"5,319",2022-09-10 13:18,2022-09-12 13:46,2022-09-12 14:00,2022-09-21 13:04,기타,22PSLCB572E,MSL,01,신항 다목적부두,마산,KANAZAWA,세미(혼재)컨테이너선,8.0,9,,N,N,,
43,인천,BATI,YA LU JIANG,2022,53,최종,외항,입항,"5,250",2022-09-11 07:55,2022-09-11 22:00,2022-09-11 08:00,2022-09-13 08:52,기타,22COSN8125I,MSB,02,신항 선광신컨테이너터미널 2선석,DALIAN,DALIAN,세미(혼재)컨테이너선,,19,,Y,Y,,
44,인천,BATI,YA LU JIANG,2022,53,최종,외항,출항,"5,250",2022-09-11 07:55,2022-09-11 22:00,2022-09-11 21:00,2022-09-13 08:57,기타,22COSN8126E,MSB,02,신항 선광신컨테이너터미널 2선석,DALIAN,DALIAN,세미(혼재)컨테이너선,,19,,Y,Y,,
45,인천,3FMT9,XIN HE DA,2022,37,최종,외항,입항,"7,808",2022-09-11 19:15,2022-09-12 13:40,2022-09-11 19:00,2022-09-13 08:52,기타,22TJMSK562I,MSA,01,신항 한진인천컨테이너터미널 1선석,TIANJIN XINGANG PT,TIANJIN XINGANG PT,세미(혼재)컨테이너선,,18,,Y,Y,,
46,인천,3FMT9,XIN HE DA,2022,37,최종,외항,출항,"7,808",2022-09-11 19:15,2022-09-12 13:40,2022-09-12 11:30,2022-09-13 08:58,기타,22TJMSK562E,MSA,01,신항 한진인천컨테이너터미널 1선석,TIANJIN XINGANG PT,TIANJIN XINGANG PT,세미(혼재)컨테이너선,,18,,Y,Y,,
47,인천,BATD,MING YUE,2022,53,최종,외항,출항,"2,453",2022-09-12 07:10,2022-09-12 19:30,2022-09-12 15:00,2022-09-14 10:16,기타,22DDSCK761E,MSB,03,신항 선광신컨테이너터미널 3선석,DANDONG,DANDONG,세미(혼재)컨테이너선,,15,,Y,Y,,
48,인천,BATD,MING YUE,2022,53,최종,외항,입항,"2,453",2022-09-12 07:10,2022-09-12 19:30,2022-09-12 08:00,2022-09-13 10:27,기타,22DDSCK761I,MSB,03,신항 선광신컨테이너터미널 3선석,DANDONG,DANDONG,세미(혼재)컨테이너선,,15,,Y,Y,,
49,부산,CQJG,MPV URANIA,2022,2,최종,외항,입항,"23,119",2022-09-12 09:36,2022-09-12 22:06,2022-09-12 09:36,2022-09-15 12:55,기타,22BLAK6037I,WAN,04,남외항 N-4박지,"CHARLESTON, TN",HUIZHOU,세미(혼재)컨테이너선,,23,,N,N,,
50,부산,CQJG,MPV URANIA,2022,2,최종,외항,출항,"23,119",2022-09-12 09:36,2022-09-12 22:06,2022-09-12 22:06,2022-09-29 17:34,기타,22BLAK6037E,WAN,04,남외항 N-4박지,EVERETT,HUIZHOU,세미(혼재)컨테이너선,,24,,N,N,,
51,부산,BSDU,XIN TAI PING,2022,9,최종,외항,입항,"5,275",2022-09-13 07:48,2022-09-13 12:55,2022-09-13 07:48,2022-09-13 12:21,기타,22TCLCXP34I,MBS,02,신선대부두 2선석,TAICANG,MOJI/KITAKYUSHU,세미(혼재)컨테이너선,,18,,Y,Y,,
52,부산,BSDU,XIN TAI PING,2022,9,최종,외항,출항,"5,275",2022-09-13 07:48,2022-09-13 12:55,2022-09-13 12:55,2022-09-13 18:28,기타,22TCLCXP34E,MBS,02,신선대부두 2선석,TAICANG,MOJI/KITAKYUSHU,세미(혼재)컨테이너선,,18,,Y,Y,,
53,부산,D8FB,PANSTAR GENIE,2022,75,최종,외항,입항,"7,323",2022-09-13 11:50,2022-09-13 15:15,2022-09-13 11:30,2022-09-15 17:59,기타,22PSLCP108I,MBF,12,신국제여객터미널 12선석,OSAKA,OSAKA,세미(혼재)컨테이너선,8.0,9,,N,N,,
54,부산,D8FB,PANSTAR GENIE,2022,75,최종,외항,출항,"7,323",2022-09-13 11:50,2022-09-13 15:15,2022-09-13 15:00,2022-09-15 17:59,기타,22PSLCB109E,MBF,12,신국제여객터미널 12선석,OSAKA,OSAKA,세미(혼재)컨테이너선,8.0,9,,N,N,,
55,부산,V7TM9,KYOWA ROSE,2022,5,최종,외항,입항,"9,953",2022-09-14 06:30,2022-09-15 00:17,2022-09-14 07:00,2022-09-14 09:28,기타,22KWSC0901I,MB7,03,7부두 73선석,CHOFU,SHANGHAI,세미(혼재)컨테이너선,,21,,Y,Y,,
56,부산,V7TM9,KYOWA ROSE,2022,5,최종,외항,출항,"9,953",2022-09-14 06:30,2022-09-15 00:17,2022-09-15 01:00,2022-09-15 09:35,기타,22KWSC0902E,MB7,03,7부두 73선석,CHOFU,SHANGHAI,세미(혼재)컨테이너선,,22,,Y,Y,,
57,부산,DSQX2,SANSTAR DREAM,2022,69,최종,외항,입항,"5,319",2022-09-14 12:20,2022-09-14 16:07,2022-09-14 12:30,2022-09-21 13:05,기타,22PSLCP572I,MSL,01,신항 다목적부두,TSURUGA,마산,세미(혼재)컨테이너선,8.0,9,,N,N,,
58,부산,DSQX2,SANSTAR DREAM,2022,69,최종,외항,출항,"5,319",2022-09-14 12:20,2022-09-14 16:07,2022-09-14 16:00,2022-09-21 13:06,기타,22PSLCB573E,MSL,01,신항 다목적부두,TSURUGA,마산,세미(혼재)컨테이너선,8.0,9,,N,N,,
59,부산,D8RV,PANSTAR GENIE NO.2,2022,80,최종,외항,입항,"7,323",2022-09-14 20:00,2022-09-15 14:40,2022-09-14 20:30,2022-09-21 13:55,기타,22PSLCP736I,MBF,13,신국제여객터미널 13선석,SHIDAO PT,"NAGOYA, AICHI",세미(혼재)컨테이너선,8.0,9,,N,N,,
60,부산,D8RV,PANSTAR GENIE NO.2,2022,80,최종,외항,출항,"7,323",2022-09-14 20:00,2022-09-15 14:40,2022-09-15 14:00,2022-09-21 14:23,기타,22SSTLP736E,MSL,01,신항 다목적부두,SHIDAO PT,"NAGOYA, AICHI",세미(혼재)컨테이너선,8.0,9,,N,N,,
61,부산,D8FB,PANSTAR GENIE,2022,76,최종,외항,출항,"7,323",2022-09-15 11:35,2022-09-15 14:20,2022-09-15 14:30,2022-09-15 18:00,기타,22PSLCP317E,MBF,12,신국제여객터미널 12선석,평택.당진,OSAKA,세미(혼재)컨테이너선,8.0,9,,N,N,,
62,부산,D8FB,PANSTAR GENIE,2022,76,최종,외항,입항,"7,323",2022-09-15 11:35,2022-09-15 14:20,2022-09-15 11:00,2022-09-15 17:59,기타,22PSLCP109I,MBF,12,신국제여객터미널 12선석,OSAKA,OSAKA,세미(혼재)컨테이너선,8.0,9,,N,N,,
63,인천,BATI,YA LU JIANG,2022,54,최종,외항,출항,"5,250",2022-09-15 17:15,2022-09-17 01:00,2022-09-16 07:00,2022-09-19 09:35,기타,22COSN8128E,WWB,01,제1입항대기정박지(북장자서),DALIAN,DALIAN,세미(혼재)컨테이너선,,19,,Y,Y,,
64,인천,BATI,YA LU JIANG,2022,54,최종,외항,입항,"5,250",2022-09-15 17:15,2022-09-17 01:00,2022-09-15 17:00,2022-09-15 23:15,기타,22COSN8127I,MSB,02,신항 선광신컨테이너터미널 2선석,DALIAN,DALIAN,세미(혼재)컨테이너선,,19,,Y,Y,,
65,인천,BATD,MING YUE,2022,54,최종,외항,입항,"2,453",2022-09-15 20:08,2022-09-17 06:07,2022-09-15 20:00,2022-09-15 23:15,기타,22DDSCK762I,MSB,03,신항 선광신컨테이너터미널 3선석,DANDONG,DANDONG,세미(혼재)컨테이너선,,15,,Y,Y,,
66,인천,BATD,MING YUE,2022,54,최종,외항,출항,"2,453",2022-09-15 20:08,2022-09-17 06:07,2022-09-16 07:00,2022-09-19 09:35,기타,22DDSCK762E,WWB,01,제1입항대기정박지(북장자서),DANDONG,DANDONG,세미(혼재)컨테이너선,,15,,Y,Y,,
67,부산,VREU7,GUANG PING,2022,3,최종,외항,출항,"5,275",2022-09-16 05:08,2022-09-16 15:54,2022-09-16 15:54,2022-09-19 11:54,기타,22DDSGGP03E,MBR,E3,신감만부두 3선석,QINGDAO,HAKATA/FUKUOKA,세미(혼재)컨테이너선,,18,,Y,Y,,
68,부산,VREU7,GUANG PING,2022,3,최종,외항,입항,"5,275",2022-09-16 05:08,2022-09-16 15:54,2022-09-16 05:08,2022-09-16 10:16,기타,22DDSGGP03I,MBR,E3,신감만부두 3선석,QINGDAO,HAKATA/FUKUOKA,세미(혼재)컨테이너선,,18,,Y,Y,,
69,부산,DSQX2,SANSTAR DREAM,2022,70,최종,외항,입항,"5,319",2022-09-17 19:10,2022-09-17 20:59,2022-09-17 19:00,2022-09-21 13:06,기타,22PSLCP573I,MSL,01,신항 다목적부두,마산,마산,세미(혼재)컨테이너선,8.0,9,,N,N,,
70,부산,DSQX2,SANSTAR DREAM,2022,70,최종,외항,출항,"5,319",2022-09-17 19:10,2022-09-17 20:59,2022-09-17 21:00,2022-09-21 15:15,기타,22PSLCB574E,MSL,01,신항 다목적부두,마산,마산,세미(혼재)컨테이너선,8.0,9,,N,N,,
71,인천,3FMT9,XIN HE DA,2022,38,최종,외항,입항,"7,808",2022-09-18 11:00,2022-09-20 00:00,2022-09-17 17:00,2022-09-19 09:30,기타,22TJMSK563I,MSA,01,신항 한진인천컨테이너터미널 1선석,TIANJIN XINGANG PT,TIANJIN XINGANG PT,세미(혼재)컨테이너선,,18,,Y,Y,,
72,인천,3FMT9,XIN HE DA,2022,38,최종,외항,출항,"7,808",2022-09-18 11:00,2022-09-20 00:00,2022-09-19 05:00,2022-09-20 07:16,기타,22TJMSK563E,MSA,01,신항 한진인천컨테이너터미널 1선석,TIANJIN XINGANG PT,TIANJIN XINGANG PT,세미(혼재)컨테이너선,,18,,Y,Y,,
73,부산,D8FB,PANSTAR GENIE,2022,77,최종,외항,출항,"7,323",2022-09-20 07:50,2022-09-20 20:54,2022-09-20 21:00,2022-09-21 15:15,기타,22PSLCB318E,MFL,01,신항 다목적부두연결잔교,OSAKA,평택.당진,세미(혼재)컨테이너선,8.0,9,,N,Y,,
74,부산,D8FB,PANSTAR GENIE,2022,77,최종,외항,입항,"7,323",2022-09-20 07:50,2022-09-20 20:54,2022-09-20 07:00,2022-09-21 13:56,기타,22PSLCB318I,MSL,01,신항 다목적부두,OSAKA,평택.당진,세미(혼재)컨테이너선,8.0,9,,N,N,,
75,부산,D8RV,PANSTAR GENIE NO.2,2022,81,최종,외항,입항,"7,323",2022-09-20 15:20,2022-09-20 21:50,2022-09-20 15:00,2022-09-21 15:12,기타,22SSTLB737I,MSL,01,신항 다목적부두,TOKYO,SHIDAO PT,세미(혼재)컨테이너선,8.0,9,,N,N,,
76,부산,D8RV,PANSTAR GENIE NO.2,2022,81,최종,외항,출항,"7,323",2022-09-20 15:20,2022-09-20 21:50,2022-09-20 23:00,2022-09-21 15:15,기타,22PSLCB737E,MSL,01,신항 다목적부두,TOKYO,SHIDAO PT,세미(혼재)컨테이너선,8.0,9,,N,N,,
77,부산,V7TR3,KYOWA FALCON,2022,7,최종,외항,입항,"12,592",2022-09-20 23:45,2022-09-22 20:00,2022-09-21 00:01,2022-09-21 08:55,기타,22KWSC0907I,MBR,01,감만부두 1선석,KOBE,KOSRAE (EX KUSAIE),세미(혼재)컨테이너선,,20,,Y,Y,,
78,부산,V7TR3,KYOWA FALCON,2022,7,최종,외항,출항,"12,592",2022-09-20 23:45,2022-09-22 20:00,2022-09-22 20:00,2022-09-23 13:21,기타,22KWSC0908E,MBR,01,감만부두 1선석,KOBE,KOSRAE (EX KUSAIE),세미(혼재)컨테이너선,,20,,Y,Y,,
79,인천,BATD,MING YUE,2022,55,최종,외항,입항,"2,453",2022-09-21 07:20,2022-09-21 17:05,2022-09-21 07:00,2022-09-22 10:51,기타,22DDSCK764I,MSB,03,신항 선광신컨테이너터미널 3선석,DANDONG,DANDONG,세미(혼재)컨테이너선,,15,,Y,Y,,
80,인천,BATD,MING YUE,2022,55,최종,외항,출항,"2,453",2022-09-21 07:20,2022-09-21 17:05,2022-09-21 16:00,2022-09-22 20:07,기타,22DDSCK764E,MSB,03,신항 선광신컨테이너터미널 3선석,DANDONG,DANDONG,세미(혼재)컨테이너선,,15,,Y,Y,,
81,부산,DSQX2,SANSTAR DREAM,2022,71,최종,외항,입항,"5,319",2022-09-21 12:30,2022-09-21 14:59,2022-09-21 12:00,2022-09-28 17:55,기타,22PSLCP574I,MSL,01,신항 다목적부두,마산,마산,세미(혼재)컨테이너선,8.0,9,,N,N,,
82,부산,DSQX2,SANSTAR DREAM,2022,71,최종,외항,출항,"5,319",2022-09-21 12:30,2022-09-21 14:59,2022-09-21 16:00,2022-09-28 17:56,기타,22PSLCB575E,MSL,01,신항 다목적부두,TSURUGA,마산,세미(혼재)컨테이너선,8.0,9,,N,N,,
83,부산,9V9718,VANUATU CHIEF,2022,1,최종,외항,입항,"25,483",2022-09-21 18:50,2022-09-24 16:30,2022-09-21 18:50,2022-09-22 09:11,기타,22CNCO0905I,MBR,E1,신감만부두 1선석,YOKOHAMA,QINGDAO,세미(혼재)컨테이너선,,29,,Y,Y,,
84,부산,9V9718,VANUATU CHIEF,2022,1,최종,외항,출항,"25,483",2022-09-21 18:50,2022-09-24 16:30,2022-09-24 17:00,2022-09-26 09:38,기타,22CNCO0906E,WAN,04,남외항 N-4박지,YOKOHAMA,QINGDAO,세미(혼재)컨테이너선,,26,,Y,Y,,
85,부산,VREU7,GUANG PING,2022,4,최종,외항,입항,"5,275",2022-09-22 06:30,2022-09-22 23:48,2022-09-22 06:30,2022-09-23 10:04,기타,22DDSGGP04I,MBR,E1,신감만부두 1선석,MOJI/KITAKYUSHU,QINGDAO,세미(혼재)컨테이너선,,18,,Y,Y,,
86,부산,VREU7,GUANG PING,2022,4,최종,외항,출항,"5,275",2022-09-22 06:30,2022-09-22 23:48,2022-09-22 23:48,2022-09-23 13:21,기타,22DDSGGP04E,MBR,E1,신감만부두 1선석,MOJI/KITAKYUSHU,QINGDAO,세미(혼재)컨테이너선,,18,,Y,Y,,
