,항명,호출부호,선명,입항횟수,입항횟수.1,구분,외내,입출,총톤수,입항일시,출항일시,CIQ수속일자,수리일시,항해구분,MRN 번호,계선장소,계선장소.1,계선장소.2,차항지,전출항지,선박용도,"외항:한국인선원수
내항:해기사선원수","외항:외국인선원수
내항:보통선원수",승객,예선,도선,부선호출부호1,부선호출부호2
0,부산,D8RV,PANSTAR GENIE NO.2,2022,77,최종,외항,출항,"7,323",2022-08-31 18:35,2022-09-01 16:45,2022-09-01 16:30,2022-09-08 15:45,기타,22SSTLP734E,MSL,01,신항 다목적부두,SHIDAO PT,"NAGOYA, AICHI",세미(혼재)컨테이너선,8.0,9,,N,N,,
1,부산,D8FB,PANSTAR GENIE,2022,71,최종,외항,입항,"7,323",2022-09-01 11:25,2022-09-01 15:40,2022-09-01 11:30,2022-09-06 10:53,기타,22PSLCP103I,MBF,12,신국제여객터미널 12선석,OSAKA,OSAKA,세미(혼재)컨테이너선,8.0,9,,N,N,,
2,부산,D8FB,PANSTAR GENIE,2022,71,최종,외항,출항,"7,323",2022-09-01 11:25,2022-09-01 15:40,2022-09-01 15:00,2022-09-06 10:54,기타,22PSLCB104E,MBF,12,신국제여객터미널 12선석,OSAKA,OSAKA,세미(혼재)컨테이너선,8.0,9,,N,N,,
3,인천,BATD,MING YUE,2022,51,최종,외항,입항,"2,453",2022-09-02 09:35,2022-09-02 18:10,2022-09-02 09:00,2022-09-02 15:59,기타,22DDSCK759I,MSB,03,신항 선광신컨테이너터미널 3선석,DANDONG,DANDONG,세미(혼재)컨테이너선,,15,,Y,Y,,
4,인천,BATD,MING YUE,2022,51,최종,외항,출항,"2,453",2022-09-02 09:35,2022-09-02 18:10,2022-09-02 15:00,2022-09-07 13:19,기타,22DDSCK759E,MSB,03,신항 선광신컨테이너터미널 3선석,DANDONG,DANDONG,세미(혼재)컨테이너선,,15,,Y,Y,,
5,부산,VROO8,NEW GUINEA CHIEF,2022,4,최종,외항,입항,"18,723",2022-09-02 11:25,2022-09-03 23:00,2022-09-02 11:00,2022-09-02 13:23,기타,22CNCO0901I,MBR,E1,신감만부두 1선석,YOKOHAMA,KAOHSIUNG,세미(혼재)컨테이너선,,18,,Y,Y,,
6,부산,VROO8,NEW GUINEA CHIEF,2022,4,최종,외항,출항,"18,723",2022-09-02 11:25,2022-09-03 23:00,2022-09-03 23:00,2022-09-05 10:25,기타,22CNCO0902E,MBR,E1,신감만부두 1선석,YOKOHAMA,KAOHSIUNG,세미(혼재)컨테이너선,,21,,Y,Y,,
7,부산,D8FB,PANSTAR GENIE,2022,72,최종,외항,입항,"7,323",2022-09-03 13:00,2022-09-04 15:00,2022-09-03 13:00,2022-09-08 13:17,기타,22PSLCP104I,MBF,12,신국제여객터미널 12선석,OSAKA,OSAKA,세미(혼재)컨테이너선,8.0,9,,N,N,,
8,부산,D8FB,PANSTAR GENIE,2022,72,최종,외항,출항,"7,323",2022-09-03 13:00,2022-09-04 15:00,2022-09-04 15:00,2022-09-08 13:48,기타,22PSLCB105E,MBF,12,신국제여객터미널 12선석,OSAKA,OSAKA,세미(혼재)컨테이너선,8.0,9,,N,N,,
9,부산,DSQX2,SANSTAR DREAM,2022,66,최종,외항,출항,"5,319",2022-09-03 17:35,2022-09-03 21:11,2022-09-03 21:30,2022-09-08 15:46,기타,22PSLCB570E,MSL,01,신항 다목적부두,마산,마산,세미(혼재)컨테이너선,8.0,9,,N,N,,
