VSL_ID,VSL_NAME,VSL_MMSI,VSL_IMO,CALL_SIGN,SHIP_TYPE,VSL_LENGTH,VSL_WIDTH,DIMENSIONS_A,DIMENSIONS_B,DIMENSIONS_C,DIMENSIONS_D,GROSS_TONNAGE
25bf3a35-35c1-3031-9172-c5664cb141f0,XIN XIN HAI 2,412203360,9623594.0,BTBM3,GENERAL_CARGO,166.0,28.0,144.0,22.0,8.0,20.0,21270.0
73b8062b-7915-348c-92af-a735934022f8,MING YUE,412202870,8882911.0,BATD,GENERAL_CARGO,81.0,16.0,58.0,23.0,8.0,8.0,2453.0
9a6e32af-194b-360c-b426-5bc7d339d46a,PANSTAR GENIE,440642000,9248227.0,D8FB,VEHICLE_PASSENGER,161.0,24.0,76.0,85.0,16.0,8.0,7323.0
9ac6da3f-4cac-3c7b-bed5-d826e9999756,BEI HAI,414690000,9397597.0,BSDG,GENERAL_CARGO,117.0,20.0,98.0,19.0,10.0,10.0,5272.0
